setName,gene,Direction
Kim_P1,Ddb2,1
Kim_P1,Rasa3,1
Kim_P1,Slc14a1,1
Kim_P1,Lrp1,1
Kim_P1,Gpld1,1
Kim_P1,Ces1d,1
Kim_P1,Lrig1,1
Kim_P1,Cd9,1
Kim_P1,Apex1,1
Kim_P1,Smoc2,1
Kim_P1,Farp1,1
Kim_P1,Notch2,1
Kim_P1,Fgfr2,1
Kim_P1,Ccnd1,1
Kim_P1,Vdr,1
Kim_P1,Kitl,1
Kim_P1,Ephb3,1
Kim_P1,Msi,1
Kim_P1,Notch1,1
Kim_P1,Clca1,1
Kim_P1,Nop2,1
Kim_P1,Cd55,1
Kim_P1,Hes1,1
Kim_P1,Hes1_bis,1
Kim_P1,Olfm4,1
Kim_P1,Lcp1,1
Kim_P1,Hopx,1
Kim_P1,Lgr5,1
Kim_P1,Nap1l1,1
Kim_P1,Arg2,1
Kim_P1,Abcg2,1
Kim_P1,Sema4d,1
Kim_P1,Heph,1
Kim_P1,Igf1r,1
Kim_P1,Hprt,1
Kim_P1,Agr3,1
Kim_P2,Lifr,1
Kim_P2,Muc2,1
Kim_P2,Rep15,1
Kim_P2,Spdef,1
Kim_P2,Apoa1,1
Kim_P2,Tdgf1,1
Kim_P2,Defa5,1
Kim_P2,Nupr1,1
Kim_P2,Dct,1
Kim_P2,Cdkn1a,1
Kim_P2,Cck,1
Kim_P2,Chga,1
Kim_P2,Alpi,1
Kim_P2,Atoh1_bis,1
Kim_P2,Ang4,1
Kim_P2,Kit,1
Kim_P2,Pax4,1
Kim_P2,Ccnb1,1
Kim_P2,Treh,1
Kim_P2,Tlr1,1
Kim_P2,Hes3,1
Kim_P2,Neurog3,1
Kim_P2,Bmp4,1
Kim_P2,Lct,1
Kim_P2,Plk1,1
Kim_P2,Dll4,1
Kim_P2,Tert,1
Kim_P2,Casp12,1
Kim_P2,Cdkn2b,1
Kim_P2,Rrm2,1
Kim_P2,Lipe,1
Kim_P2,Clca3,1
Kim_P2,Atoh1,1
Kim_P2,Rnase1,1
Kim_P2,Atf3,1
Kim_P2,Neurod1,1
Kim_P2,Tert_bis,1
Kim_P2,Ccna2,1
Kim_P2,Rfc4,1
Kim_P2,Gemin4,1
Kim_P2,Gapdh,1
Kim_P2,Dll1,1
Kim_P2,Cdk1,1
Kim_P2,Psrc1,1
Kim_P2,Sycn,1
Kim_P2,Hig2,1
Kim_P2,Tbx3,1
Kim_P2,Cd14,1
Kim_P2,Gfi1b,1
Kim_P2,Gfi1,1
Kim_P2,Cd82,1
Kim_P2,Il6,1
